stop_id,stop_name,stop_lat,stop_lon
suma,須磨駅,34.642286,135.112913　　///修正済み
sumakaihinkouenn,須磨海浜公園駅,34.647224,135.126602
takatori,鷹取駅,34.651417,135.135377
shinnnagata,新長田駅,34.657562,135.145164
hyougo,兵庫駅,34.668237,135.164895
koube,神戸駅,34.679452,135.178196
motomati,元町駅,34.689595,135.187295
sannnomiya,三ノ宮駅,34.694158,135.194402
nada,灘駅,34.705774,135.216189
maya,摩耶駅,34.708706,135.225037
rokkoumiti,六甲道駅,34.714706,135.238251
sumiyosi,住吉駅,34.719476,135.262279
