shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
KoubeDentetsu_Line,34.681169, 135.162852,9
KoubeDentetsu_Line,34.680992, 135.160454,10
KoubeDentetsu_Line,34.680880, 135.159931,11
KoubeDentetsu_Line,34.680776, 135.159605,12
KoubeDentetsu_Line,34.679943, 135.157919,13
KoubeDentetsu_Line,34.679796, 135.157465,14
KoubeDentetsu_Line,34.679752, 135.157252,15
KoubeDentetsu_Line,34.679036, 135.151927,16
KoubeDentetsu_Line,34.679044, 135.151572,17
KoubeDentetsu_Line,34.679083, 135.151259,18
KoubeDentetsu_Line,34.679299, 135.150623,19
KoubeDentetsu_Line,34.679721, 135.150032,20
KoubeDentetsu_Line,34.680065, 135.149773,21
KoubeDentetsu_Line,34.680324, 135.149652,22
KoubeDentetsu_Line,34.680750, 135.149566,23
KoubeDentetsu_Line,34.681626, 135.149562,24
KoubeDentetsu_Line,34.682285, 135.149622,25
KoubeDentetsu_Line,34.682661, 135.149508,26
KoubeDentetsu_Line,34.682967, 135.149332,27
KoubeDentetsu_Line,34.683299, 135.149012,28
KoubeDentetsu_Line,34.683585, 135.148559,29
KoubeDentetsu_Line,34.683714, 135.148185,30
KoubeDentetsu_Line,34.683976, 135.147049,31
KoubeDentetsu_Line,34.684107, 135.146563,32
KoubeDentetsu_Line,34.684219, 135.146299,33
KoubeDentetsu_Line,34.684495, 135.145838,34
KoubeDentetsu_Line,34.685351, 135.144879,35
KoubeDentetsu_Line,34.685561, 135.144573,36
KoubeDentetsu_Line,34.685754, 135.144014,37   ///丸山駅
KoubeDentetsu_Line,34.686748, 135.142613,38
KoubeDentetsu_Line,34.689451, 135.140250,39
KoubeDentetsu_Line,34.690098, 135.140019,40
KoubeDentetsu_Line,34.690545, 135.140034,41
KoubeDentetsu_Line,34.690921, 135.140168,42
KoubeDentetsu_Line,34.691390, 135.140502,43
KoubeDentetsu_Line,34.691876, 135.141133,44
KoubeDentetsu_Line,34.692704, 135.142307,45  ///鵯越駅
KoubeDentetsu_Line,34.693048, 135.142635,46 
KoubeDentetsu_Line,34.694826, 135.143442,47
KoubeDentetsu_Line,34.695301, 135.143846,48
